City,Country,Longitude,Latitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind Speed
cockburn town,TC,-71.14,21.46,87.8,87.8,62,40,11.41
kolyvan,RU,82.74,55.31,46.4,46.4,100,90,6.71
saldanha,ZA,17.94,-33.01,59.31,59.31,87,0,5.37
cherskiy,RU,161.3,68.75,31.12,31.12,98,51,2.15
roald,NO,6.13,62.58,52.72,53.6,87,75,26.4
te anau,NZ,167.72,-45.42,47.17,47.17,78,88,10.42
jinhua,CN,119.65,29.11,70.36,70.36,89,15,1.61
porto belo,BR,-48.55,-27.16,66.42,66.99,100,75,6.93
brownwood,US,-98.99,31.71,84.2,84.2,58,1,13.87
cascais,PT,-9.42,38.7,83.16,86.0,23,29,8.05
khash,IR,61.22,28.22,69.76,69.76,22,0,7.23
geraldton,AU,114.6,-28.77,51.8,51.8,87,0,10.29
matagami,CA,-77.63,49.75,53.6,53.6,58,75,10.78
vaitape,PF,-151.75,-16.52,78.58,78.58,75,5,16.78
port moresby,PG,147.18,-9.44,77.0,77.0,88,75,17.22
san ignacio,BZ,-89.07,17.16,87.4,89.01,74,75,4.7
kahului,US,-156.47,20.89,76.95,82.4,58,40,16.11
itacarambi,BR,-44.09,-15.1,95.32,95.32,20,7,5.19
labuhan,ID,112.21,-6.88,78.64,78.64,80,34,7.29
oksovskiy,RU,39.9,62.61,51.12,51.12,98,100,3.42
brae,GB,-1.35,60.4,55.4,55.4,87,40,16.11
palestine,PS,35.2,31.92,82.02,86.0,70,75,8.05
norman wells,CA,-126.83,65.28,50.0,50.0,93,75,2.24
brigantine,US,-74.36,39.41,80.06,82.4,58,1,6.93
meadow lake,US,-106.54,34.8,77.76,82.0,27,40,26.4
east london,ZA,27.91,-33.02,66.2,66.2,93,0,10.29
nikolskoye,RU,30.79,59.7,55.13,55.4,71,20,4.47
hojai,IN,92.87,26.0,77.32,77.32,91,90,1.34
husavik,IS,-17.34,66.04,42.8,42.8,70,75,16.11
adrar,MR,-10.07,20.5,103.89,103.89,12,23,8.61
rumonge,BI,29.44,-3.97,77.5,77.5,60,92,0.96
north bend,US,-124.22,43.41,80.6,80.6,15,1,11.41
wanlaweyn,SO,44.89,2.62,76.35,76.35,68,44,18.41
rawson,AR,-65.1,-43.3,64.4,64.4,37,98,28.12
svetlogorsk,BY,29.73,52.63,56.32,56.32,74,100,10.09
tazovskiy,RU,78.7,67.47,48.16,48.16,73,36,11.5
victoria,HK,114.16,22.29,79.68,80.01,88,98,5.01
tabas,IR,56.92,33.6,86.0,86.0,11,0,4.7
havoysund,NO,24.66,71.0,52.68,53.6,81,40,17.22
castro,BR,-50.01,-24.79,80.4,80.4,45,57,6.26
santa lucia,ES,-15.54,27.91,86.34,87.01,48,49,24.16
leningradskiy,RU,178.42,69.38,39.51,39.51,81,84,2.01
ginda,IN,78.49,30.69,62.78,62.78,82,0,3.62
bardiyah,LY,25.09,31.76,76.71,76.71,76,0,11.77
rocky mountain house,CA,-114.92,52.37,54.01,54.01,47,79,5.59
port hedland,AU,118.57,-20.32,71.6,71.6,56,0,9.17
jimenez,MX,-105.4,28.33,84.2,84.2,37,90,5.82
itarema,BR,-39.92,-2.92,84.97,84.97,57,44,19.22
upernavik,GL,-56.15,72.79,37.54,37.54,78,97,6.85
manokwari,ID,134.08,-0.87,79.21,79.21,74,53,3.74
constitucion,CL,-72.42,-35.33,51.8,51.8,85,100,12.06
vao,NC,167.48,-22.67,67.03,67.03,79,70,22.44
genhe,CN,121.52,50.78,50.43,50.43,89,100,5.12
ucluelet,CA,-125.55,48.93,74.43,75.2,27,20,5.82
chokurdakh,RU,147.92,70.63,41.49,41.49,88,100,9.04
faya,SA,42.45,18.39,70.7,71.6,77,20,5.82
pavilosta,LV,21.19,56.89,62.6,62.6,82,100,14.99
mayumba,GA,10.66,-3.43,75.56,75.56,86,95,10.96
mehran,IR,46.16,33.12,78.8,78.8,21,0,2.24
cidreira,BR,-50.21,-30.18,61.57,61.57,95,98,18.07
ribeira grande,PT,-28.7,38.52,77.0,77.0,73,75,11.41
avera,US,-82.53,33.19,85.33,87.8,33,1,8.05
scarborough,GB,-0.4,54.28,68.63,69.01,85,34,4.0
krusa,DK,9.4,54.85,61.59,64.4,77,69,21.92
lorengau,PG,147.27,-2.02,82.13,82.13,78,97,8.12
katsuura,JP,140.3,35.13,80.76,82.0,79,0,3.0
mountain home,US,-115.69,43.13,58.37,59.0,19,1,11.41
narkevychi,UA,26.64,49.52,56.3,56.3,67,35,5.82
pamantingan,PH,124.46,6.7,72.23,72.23,91,67,2.17
trinidad,BO,-64.9,-14.83,87.8,87.8,43,100,5.82
chato,TZ,31.77,-2.64,71.56,71.56,68,32,4.38
bodden town,KY,-81.25,19.28,88.25,89.6,84,40,14.99
richards bay,ZA,32.04,-28.78,67.89,67.89,70,0,10.18
thompson,CA,-97.86,55.74,42.8,42.8,56,90,5.82
whitehorse,CA,-135.05,60.72,54.23,55.4,62,75,11.41
flagstaff,US,-111.65,35.2,65.98,71.01,52,20,23.04
havelock,US,-76.9,34.88,78.62,80.6,78,75,9.17
chumikan,RU,135.31,54.72,49.32,49.32,78,88,4.0
high level,CA,-117.14,58.52,62.6,62.6,51,75,8.05
sozimskiy,RU,52.25,59.74,57.24,57.24,96,81,5.97
sao joao da barra,BR,-41.05,-21.64,82.4,82.4,58,13,18.34
quatre cocos,MU,57.76,-20.21,73.71,73.99,83,20,11.41
grand forks,US,-97.03,47.93,46.63,46.99,65,90,10.29
bengkulu,ID,102.27,-3.8,77.59,77.59,84,39,6.06
necochea,AR,-58.74,-38.55,64.99,64.99,52,20,23.0
pathein,MM,94.73,16.78,77.36,77.36,91,100,2.71
opuwo,NA,13.84,-18.06,72.82,72.82,20,0,9.06
makakilo city,US,-158.09,21.35,79.66,82.4,65,1,4.7
pangkalanbuun,ID,111.62,-2.68,75.69,75.69,95,100,1.32
char bhadrasan,BD,90.22,23.32,84.2,84.2,74,75,6.15
cam ranh,VN,109.16,11.92,84.2,84.2,83,20,3.36
padang,ID,100.35,-0.95,78.46,78.46,79,71,5.14
taman,RU,36.72,45.21,69.4,69.8,83,20,2.24
hirara,JP,125.28,24.8,83.17,83.17,77,70,9.57
hinganghat,IN,78.83,20.57,77.0,77.0,88,75,4.94
birao,CF,22.79,10.28,76.73,76.73,81,44,3.04
san francisco,US,-122.42,37.77,67.8,69.8,64,90,8.05
furano,JP,142.47,43.28,65.16,65.16,93,2,4.32
jalu,LY,21.55,29.03,83.89,83.89,26,0,2.98
itoman,JP,127.67,26.12,80.96,82.4,94,75,5.82
araouane,ML,-3.53,18.9,102.22,102.22,20,15,14.27
bijar,IR,47.61,35.87,65.25,65.25,27,3,9.35
miramar,US,-80.23,25.99,89.76,91.0,62,20,10.29
joensuu,FI,29.76,62.6,51.57,53.01,93,75,5.82
abu samrah,SY,37.18,35.3,86.31,86.31,19,0,8.59
kirya,TZ,37.48,-3.92,72.05,72.05,57,53,8.79
lavrentiya,RU,-171.0,65.58,37.45,37.45,77,100,5.46
avarua,CK,-159.78,-21.21,73.4,73.4,83,100,4.7
nikel,RU,30.22,69.41,51.8,51.8,66,78,17.22
semey,KZ,80.23,50.41,47.88,47.88,75,26,6.89
yaan,NG,8.57,7.38,78.37,78.37,85,59,6.29
victor harbor,AU,138.62,-35.57,55.0,55.0,80,100,8.61
luwuk,ID,122.79,-0.95,77.05,77.05,78,74,5.82
lisakovsk,KZ,62.49,52.54,53.82,53.82,59,8,7.36
lasa,IT,10.7,46.62,63.36,64.0,72,5,3.36
namtsy,RU,129.67,62.72,33.8,33.8,75,0,4.47
tongliao,CN,122.27,43.61,61.34,61.34,83,100,15.84
treinta y tres,UY,-54.38,-33.23,62.1,62.1,70,38,15.77
kuvandyk,RU,57.36,51.48,61.95,61.95,56,53,9.15
airai,TL,125.41,-8.93,55.78,55.78,78,86,3.33
riyadh,SA,46.72,24.69,91.4,91.4,21,0,4.7
jaora,IN,75.13,23.63,77.0,77.0,85,42,5.08
wanning,CN,110.4,18.8,81.37,81.37,87,100,5.91
huarmey,PE,-78.15,-10.07,69.13,69.13,63,44,12.26
bethanien,NA,17.16,-26.5,72.84,72.84,21,0,6.24
lyngseidet,NO,20.22,69.58,50.94,51.8,71,80,11.41
nanortalik,GL,-45.24,60.14,43.02,43.02,68,99,2.91
codrington,AU,141.97,-38.27,44.94,44.94,82,4,2.8
kharan,PK,65.42,28.58,85.23,85.23,13,0,3.0
peleduy,RU,112.74,59.63,55.72,55.72,91,95,1.86
willowmore,ZA,23.49,-33.29,70.32,70.32,24,0,3.98
constantine,DZ,6.61,36.37,68.0,68.0,82,75,12.75
voh,NC,164.7,-20.97,63.41,63.41,89,33,6.91
kempten,DE,10.31,47.73,60.31,66.99,72,0,2.37
opalenica,PL,16.41,52.31,67.08,68.0,59,76,5.82
lagoa,PT,-27.98,39.05,72.55,72.55,86,57,15.12
quixeramobim,BR,-39.29,-5.2,95.85,95.85,20,5,7.83
los llanos de aridane,ES,-17.92,28.66,78.8,78.8,83,35,14.99
turukhansk,RU,87.98,65.82,48.65,48.65,71,98,6.29
aginskoye,RU,114.53,51.1,54.45,54.45,76,0,2.28
balestrand,NO,6.53,61.21,49.08,50.0,100,75,34.45
krasnyy yar,RU,48.35,46.53,66.11,66.2,59,4,11.18
george,ZA,22.46,-33.96,69.8,69.8,46,0,4.7
mount gambier,AU,140.77,-37.83,39.2,39.2,93,0,1.77
alghero,IT,8.32,40.56,78.8,78.8,69,1,4.7
broome,US,-75.83,42.25,82.06,84.0,57,1,8.05
hambantota,LK,81.12,6.12,80.85,80.85,80,100,16.44
hamilton,US,-84.53,39.18,87.21,90.0,51,20,8.05
banda aceh,ID,95.32,5.56,79.7,79.7,77,98,10.11
sao felix do xingu,BR,-51.99,-6.64,107.35,107.35,13,80,3.09
deputatskiy,RU,139.9,69.3,34.72,34.72,91,92,3.4
berlevag,NO,29.09,70.86,54.07,55.4,66,83,17.22
timra,SE,17.33,62.49,51.93,54.0,81,37,3.36
balsas,BR,-46.04,-7.53,102.15,102.15,17,46,7.72
norrtalje,SE,18.7,59.76,62.01,64.0,71,3,4.0
ingham,US,-84.38,42.6,54.21,55.4,100,90,9.17
sao gabriel da cachoeira,BR,-67.09,-0.13,91.4,91.4,63,40,5.82
lac-megantic,CA,-70.88,45.58,70.56,73.0,4,88,3.0
juba,SS,31.58,4.85,72.32,72.32,87,5,0.43
chapais,CA,-74.85,49.78,55.4,55.4,50,75,11.41
yar-sale,RU,70.83,66.83,52.95,52.95,83,98,10.98
mehamn,NO,27.85,71.04,55.4,55.4,62,92,13.87
fez,MA,-5.0,34.04,91.4,91.4,26,11,11.41
two rivers,US,-87.57,44.15,55.62,55.99,87,100,1.99
tatvan,TR,42.28,38.51,66.15,66.15,27,0,4.76
putina,PE,-69.43,-15.47,49.87,49.87,61,74,7.63
palana,RU,159.97,59.12,44.6,44.6,91,92,25.41
ilebo,CD,20.58,-4.32,77.49,77.49,71,90,1.61
dali,CN,100.18,25.7,62.56,62.56,83,50,2.77
anchorage,US,-149.9,61.22,54.43,55.99,66,1,2.91
nangong,CN,115.37,37.36,69.42,69.42,63,9,2.66
rosario,AR,-60.64,-32.95,72.72,73.99,43,16,20.8
sioux lookout,CA,-91.92,50.1,48.2,48.2,66,75,11.41
vanimo,PG,141.3,-2.67,78.28,78.28,86,16,4.56
taoudenni,ML,-3.98,22.68,108.82,108.82,8,20,12.17
bogorodskoye,RU,37.88,56.55,50.32,50.32,96,96,8.25
nabire,ID,135.48,-3.37,75.36,75.36,91,68,4.29
porto velho,BR,-63.9,-8.76,96.8,96.8,39,8,5.82
den helder,NL,4.76,52.96,64.78,64.99,93,90,13.87
tchollire,CM,14.17,8.4,75.74,75.74,88,32,1.77
solnechnyy,RU,136.63,50.72,53.26,53.26,94,100,10.11
khalkhal,IR,48.53,37.62,59.13,59.13,69,7,4.97
ambikapur,IN,83.2,23.12,76.71,76.71,80,100,3.87
hami,CN,93.45,42.8,69.42,69.42,36,0,7.07
kaeo,NZ,173.78,-35.1,50.0,50.0,3,15,3.0
rocha,UY,-54.33,-34.48,62.01,62.01,64,9,14.16
igarka,RU,86.58,67.47,43.56,43.56,76,46,2.37
krasnoselkup,RU,82.47,65.7,49.51,49.51,64,95,7.02
nuuk,GL,-51.72,64.18,44.29,44.6,70,75,11.41
mumford,GH,-0.76,5.26,76.01,76.01,88,7,11.61
waingapu,ID,120.26,-9.66,74.16,74.16,85,100,8.66
lyuban,BY,28.0,52.8,55.02,55.02,79,100,10.31
acarau,BR,-40.12,-2.89,86.14,86.14,54,51,19.91
porto novo,BJ,2.6,6.5,80.6,80.6,83,40,16.11
comodoro rivadavia,AR,-67.5,-45.87,60.8,60.8,36,40,31.09
grand gaube,MU,57.66,-20.01,73.99,73.99,81,48,7.0
aklavik,CA,-135.01,68.22,42.8,42.8,93,90,5.82
kavaratti,IN,72.64,10.57,82.33,82.33,81,96,9.84
kuito,AO,16.93,-12.38,64.2,64.2,27,0,2.04
ankazobe,MG,47.12,-18.32,59.0,59.0,87,75,10.29
marrakesh,MA,-8.01,31.63,98.6,98.6,14,20,9.17
chuy,UY,-53.46,-33.7,59.99,59.99,71,8,14.12
montijo,PT,-8.97,38.71,83.82,87.8,42,36,11.41
tilichiki,RU,166.1,60.47,44.26,44.26,92,100,17.6
narsaq,GL,-46.05,60.92,46.4,46.4,61,75,3.36
kununurra,AU,128.73,-15.77,68.0,68.0,28,0,2.24
wucheng,CN,118.17,29.6,71.31,71.31,75,22,0.65
makat,KZ,53.35,47.65,71.55,71.55,22,0,5.66
bom jesus da lapa,BR,-43.42,-13.26,96.62,96.62,19,16,2.89
markala,ML,-6.07,13.7,86.2,86.2,61,91,8.46
corbelia,BR,-53.31,-24.8,82.4,82.4,42,40,13.87
namatanai,PG,152.43,-3.67,79.2,79.2,82,28,6.4
goroka,PG,145.39,-6.08,58.01,58.01,87,28,1.48
bandarbeyla,SO,50.81,9.49,75.96,75.96,82,37,28.36
kruisfontein,ZA,24.73,-34.0,68.0,68.0,69,0,1.01
bihac,BA,15.87,44.82,60.69,60.69,76,0,1.66
saint-augustin,CA,-58.65,51.23,58.24,58.24,92,100,26.98
pimenta bueno,BR,-61.19,-11.67,112.28,112.28,10,18,2.53
plouzane,FR,-4.62,48.38,65.64,66.2,72,57,8.05
chivay,PE,-71.6,-15.64,61.93,61.93,29,98,4.05
asfi,MA,-9.24,32.3,78.37,78.37,56,3,21.18
gaoual,GN,-13.2,11.75,81.97,81.97,84,34,4.27
puerto escondido,MX,-97.07,15.85,84.2,84.2,74,90,6.93
sorong,ID,131.25,-0.88,79.75,79.75,82,91,5.12
baherden,TM,57.43,38.44,70.9,70.9,20,52,5.06
villiers,ZA,28.6,-27.03,61.77,61.77,29,0,2.84
hobyo,SO,48.53,5.35,76.68,76.68,80,2,25.93
nizwa,OM,57.53,22.93,93.47,93.47,26,2,1.81
saint-joseph,RE,55.62,-21.37,66.54,73.4,78,23,11.41
gao,ML,1.64,16.64,97.66,97.66,28,9,9.86
maceio,BR,-35.74,-9.67,82.4,82.4,58,40,10.29
pasni,PK,63.47,25.26,82.44,82.44,83,0,4.97
namwala,ZM,26.44,-15.75,69.8,69.8,24,0,9.13
viedma,AR,-63.0,-40.81,64.99,64.99,55,95,8.01
souillac,MU,57.52,-20.52,73.4,73.4,83,20,11.41
lakefield,US,-95.17,43.68,44.89,45.0,87,90,9.17
springbok,ZA,17.89,-29.66,63.66,63.66,49,0,1.68
porto santo,PT,-16.34,33.07,73.4,73.4,83,40,12.75
kanye,BW,25.33,-24.97,62.24,62.24,31,0,6.44
moose factory,CA,-80.61,51.26,53.6,53.6,62,75,9.17
dingle,PH,122.67,11.0,77.5,77.5,86,100,4.61
baripada,IN,86.72,21.93,83.23,83.23,79,100,3.98
tevaitoa,PF,-151.5,-16.78,78.4,78.4,75,2,16.75
ileza,RU,43.9,61.05,59.81,59.81,70,100,9.28
barcelos,PT,-8.62,41.54,80.62,82.99,29,22,9.17
luganville,VU,167.17,-15.53,69.8,69.8,88,90,11.99
basco,PH,121.97,20.45,83.86,83.86,80,74,7.76
bonthe,SL,-12.51,7.53,78.17,78.17,82,98,5.91
san patricio,MX,-104.7,19.22,91.4,91.4,63,40,11.41
lagunillas,VE,-71.26,10.13,84.0,84.0,74,100,8.68
santa elena,EC,-80.85,-2.23,80.6,80.6,65,41,9.17
alofi,NU,-169.92,-19.06,71.6,71.6,88,100,6.93
liverpool,GB,-2.98,53.41,67.8,70.0,73,40,6.93
fairbanks,US,-147.72,64.84,47.17,48.99,93,90,5.82
port-gentil,GA,8.78,-0.72,78.8,78.8,78,40,16.87
cap malheureux,MU,57.61,-19.98,73.99,73.99,81,47,7.0
nador,MA,-2.93,35.17,75.2,75.2,73,20,9.17
erzin,TR,36.2,36.96,84.99,84.99,84,0,2.44
ngaoundere,CM,13.58,7.32,67.03,67.03,96,89,5.03
snezhnogorsk,RU,33.25,69.19,50.0,50.0,81,78,6.71
fevik,NO,8.68,58.38,57.61,59.0,67,20,11.41
contamana,PE,-75.02,-7.33,97.84,97.84,33,97,3.87
usinsk,RU,57.53,65.99,50.52,50.52,90,94,2.66
